hindi,phon
गज़ट,g a z a tt
गटकना,g a tt a k n aa
गट्टा,g a tt tt aa
गट्ठर,g a tt tth a r
गट्ठा,g a tt tth aa
गठन,g a tth a n
गठना,g a tth n aa
गठरी,g a tth r ii
गठिया,g a tth i y aa
गठीला,g a tth ii l aa
गड़गड़ाना,g a rr g a rr aa n aa
गड़गड़ाहट,g a rr g a rr a h a tt
गड़ना,g a rr n aa
गड़बड़,g a rr b a rr
गड़बड़-झाला,g a rr b a rr jh aa l aa
गड़बड़ी,g a rr b a r ii
गड़बड़ाना,g a rr b a rr aa n aa
गड़बड़िया,g a rr b a rr i y aa
गडरिया,g a dd a r i y aa
गड़ा,g a rr aa
गड़ना,g a rr aa n aa
गड़ारी,
गड्ड-मड्ड,g a dd dd m a dd dd a
गड्डा,g a dd dd aa
गड्ढा,g a dd dd aa
गढ़,g a dd ddh aa
गढ़,g a rrh
गढ़ना,g a rrh n aa
गढ़ा,g a rrh aa
गण,g a n
गणतंत्र,g a n t a n t r a
गणना,g a n n aa
गणित,g a n i t
गणेश,g a n e sh
गत,g a t
गत,g a t
गति,g a t i
गतिरोध,g a t i r o dh
गति-विधि,g a t i v i dh i
गतिशील,g a t i sh ii l
गतिहीन,g a t i h ii n
गत्ता,g a t t aa
गदहा,g a d h aa
गद्गद,g a d g a d
गद्दा,g a d d aa
गद्दी,g a d d ii
गधा,g a dh aa
गन्ना,g a n n aa
गप,g a p
गपशप,g a p sh a p
गपोड़ा,g a p o rr aa
गप्पी,g a p p ii
गमछा,g a m ch aa
गमनागमन,g a m a n aa g a m a n
गमला,g a m l aa
गया,g a y aa
गरज,g a r a j
गरजना,g a r a j n aa
गरदन,g a r d a n
गरम,g a r a m
गरमागरम,g a r m aa g a r a m
गरमागरमी,g a r m aa g a r m ii
गरमी,g a r m ii
गरारा,g a r aa r aa
गरारा,g a r aa r aa
गरी,g a r ii
गर्द,g a r d
गर्दन,g a r d a n
गर्भ,g a r bh a
गर्भवती,g a r bh a v a t ii
गर्म,g a r m
गर्मी,g a r m ii
गर्व,g a r v a
गर्वीला,g a r v ii l aa
गलना,g a l n aa
गला,g a l aa
गलाना,g a l aa n aa
गलियारा,g a l i y aa r aa
गली,g a l ii
गल्ला,g a l l aa
गवर्नमेंट,g a v a r n m e n tt
गवर्नर,g a v a r n a r
गवाना,g a v aa n aa
गवाह,g a v aa h
गवाही,g a v aa h ii
गवैया,g a v E y aa
गश्त,g a sh t
गश्ती,g a sh t ii
गहना,g a h n aa
गहने,g a h n e
गहरा,g a h r aa
गहराई,g a h r E
गहरान,g a h r a n
गाइड,g aa i dd
गाउन,g aa u n
गागर,g aa g a r
गाज,g aa j
गाजर,g aa j a r
गाजा-बाजा,g aa j a b aa j aa
गाड़ना,g aa rr n aa
गाड़ी,g aa rr ii
गाड़ीखाना,g aa rr ii x aa n aa
गाड़ीवान,g aa rr ii v aa n
गाढ़ा,g aa rrh aa
गान,g aa n
गाना,g aa n aa
गाना-बजाना,g aa n aa b a j aa n aa
गाय,g aa y
गायक,g aa y a k
गारंटी,g aa r a n tt ii
गारद,g aa r a d
गारा,g aa r aa
गार्ड,g aa r dd
गाल,g aa l
गाला,g aa l aa
गाली,g aa l ii
गाहक,g aa h a k
गाहकी,g aa h k ii
गाहना,g aa h n aa
गिचपिच,g i c p i c
गिटपिट,g i tt p i tt
गिट्टक,g i tt tt a k
गिट्टी,g i tt tt ii
गिड़गिड़ाना,g i rr g i rr aa n aa
गिद्ध,g i d dh a
गिनती,g i n t ii
गिनना,g i n n aa
गिनवाना,g i n v aa n aa
गिनाना,g i n aa n aa
गिरगिट,g i r g i tt
गिरजा,g i r j aa
गिरते-पड़ते,g i r t e p a rr t e
गिरना,g i r n aa
गिरफ़्तार,g i r a f t aa r
गिरफ़्तारी,g i r a f t aa r i
गिरवि,g i r v i
गिरह,g i r a h
गिरहकट,g i r a h k a tt
गिराना,g i r aa n aa
गिरावट,g i r aa v a tt
गीरोह,g i r o h
गिर्द,g i r d
गिलट,g i l a tt
गिलास,g i l aa s
गिलौरी,g i l O r ii
गीत,g ii t
गीदड़,g ii d a rr
गीध,g ii dh
गीलापन,g ii l aa p a n
गुंजाइश,g u n j aa i sh
गुंडई,g u n dd Ei
गुंडा,g u n dd aa
गुंडागर्दी,g u n dd aa g a r d ii
गुंथना,g u ~ th n aa
गुँधना,g u ~ dh n aa
गुंबज,g u m b a j
गुच्छा,g u c ch aa
गुच्छेदार,g u c ch e d aa r
गुज़र,g u z a r
गुज़रना,g u z a r n aa
गुज़र-बसर,g u z a r b a s a r
गुज़ारना,g u z aa r n aa
गुज़ारा,g u z aa r aa
गुज़ारिश,g u z aa r i sh
गुट,g u tt
गुटबंदी,g u tt b a n d ii
गुठली,g u tth l ii
गुठलीदार,g u tth l ii d aa r
गुड़,g u rr
गुड़गुड़ाना,g u rr g u rr aa n aa
गुड़गुड़ाहट,g u rr g u rr aa h a tt
गुड़िया,g u rr g u rr ii
गुड़िया,g u rr i y aa
गुड्डा,g u dd dd aa
गुड्डा,g u dd dd aa
गुण,g u n
गुणकारक,g u n k aa r a k
गुणवंत,g u n v a n t
गुणा,g u n aa
गुणी,g u n ii
गुत्थमगुत्था,g u t th a m g u t th aa
गुत्थी,g u t th ii
गुथना,g u th n aa
गुदगुदा,g u d g u d aa
गुदगुदाना,g u d g u d aa n aa
गुदगुदी,g u d g u d ii
गुदड़ी,g u d rr ii
गुद्दी,g u d d ii
गुनगुना,g u n g u n aa
गुनगुनाना,g u n g u n aa n aa
गुनहगार,g u n a h g aa r
गुना,g u n aa
गुनाह,g u n aa h
गुपचुप,g u p c u p
गुप्त,g u p t a
गुप्तचर,g u p t c a r
गुफा,g u ph aa
गुम,g u m
गुमटी,g u m tt ii
गुमनाम,g u m n aa m
गुमराह,g u m r aa h
गुरदा,g u r d aa
गुरु,g u r u
गुरुजन,g u r u j a n
गुरुद्वारा,g u r u d v aa r aa
गुरुवार,g u r u v aa r
गुर्राना,g u r r aa n aa
गुल,g u l
गुलकारी,g u l k aa r ii
गुलछरें,g u l ch a r r e
गुलदस्ता,g u l d a s t aa
गुलदान,g u l d aa n
गुलाब,g u l aa b
गुलाब-जल,g u l aa b j a l
गुलाब जामुन,g u l aa b j aa m u n
गुलाबी,g u l aa b ii
गुलाबीपन,g u l aa b ii p a n
गुलाल,g u l aa l
गुलूबंद,g u l uu b a n d
गुलेल,g u l e l
गुल्ली-डंडा,g u l l ii dd a n dd aa
गुस्ताख़,g u s t aa x
गुह,g u h
गुहा,g u h aa
गुह्य,g u h y a
गूढ़,g uu rrh
गूदड़,g u ~ d a rrh
गूदा,g uu d aa
गूदेदार,g uu d e d aa r
गूलर,g uu l a r
गूह,g uu h
गृह,g r i h
गृहस्थ,g r i h a s th
गृहस्थी,g r i h a s th ii
गेटिस,g e t i s
गेरुआ,g e r u aa
गेरू,g e r uu
गेहुँआ,g e h u ~ aa
ग़ैर-जिम्मेदार,g E r z i m m e d aa r
ग़ैरत,g E r a t
ग़ैर-पेशेवर,g E r p e sh e v a r
ग़ैर-फ़ौजी,g E r f O j i
ग़ैर-मामूली,g E r m aa m uu l ii
ग़ैर-लड़ाकू,g E r l a rr aa k uu
ग़ैर-हाजिर,g E r h aa z i r
ग़ैर-हाजिरी,g E r h aa z i r ii
गैलन,g E l a n
गैलरी,g E l a r ii
गैस,g E s
गो,g o
गोटी,g o tt ii
गोड़ना,g o rr n aa
गोद,g o d
गोदान,g o d aa n
गोदाम,g o d aa m
गोदी,g o d ii
गोदी,g o d i
गोपनीय,g o p n ii y a
गोपनीयता,g o p n ii y a t aa
गोबर,g o b a r
गोभी,g o bh ii
गोमाता,g o m aa t aa
गोमूत्र,g o m uu t r a
गोरक्षा,g o r a k sh aa
गोरखधंधा,g o r a kh dh a n dh aa
गोरा,g o r aa
गोल,g o l
गोल,g o l
गोलकीपर,g o l k ii p a r
गोलगप्पा,g o l g a p p aa
गोलमटोल,g o l m a tt o l
गोलमाल,g o l m aa l
गोलमोल,g o l m o l
गोला,g o l aa
गोलाई,g o l E
गोलाबारी,g o l aa b aa r ii
गोला-बारूद,g o l aa b aa r uu d
गोली,g o l ii
गोशाला,g o sh aa l aa
गोश्त,g o sh t
गोष्ठी,g o sh tth ii
गोहत्य़ा,g o h a t y aa
गौ,g Ou
गौण,g O n
गौना,g O n aa
गौर,g O r
गौरव,g O r a v
गौरवशाली,g O r a v sh aa l ii
गौरैया,g O r E y aa
गौशाला,g O sh aa l aa
ग्यारह,g y aa r a h
ग्रंथ,g r a n th
ग्रंथकार,g r a n th k aa r
ग्रंथमाला,g r a n th m aa l aa
ग्रंथालय,g r a n th aa l a y
ग्रंथावली,g r a n th aa v l ii
ग्रंथि,g r a n th i
ग्रस्त,g r a s t a
ग्रह,g r a h
ग्रहणा,g r a h a n
ग्रहण,g r a h a n
ग्राम,g r aa m
ग्राम,g r aa m
ग्रामवासी,g r aa m v aa s ii
ग्रामीण,g r aa m ii n
ग्रामोफ़ोन,g r aa m o f o n
ग्रास,g r aa s
ग्राह,g r aa h
ग्राहक,g r aa h a k
ग्राह्य,g r aa h y a
ग्रीष्म,g r ii sh m a
ग्रुप,g r u p
ग्राजुएट,g r e j u e tt
ग्रेड,g r e dd
ग्रेन,g r e n
ग्लानि,g l aa n i
ग्लूकोज,g l uu k o z
ग्वाला,g v aa l aa
घंटा,gh a n tt aa
घंटा-घर,gh a n tt aa gh a r
घंटी,gh a n tt ii
घंटेवार,gh a n tt e v aa r
घटती,gh a tt t ii
घटना,gh a tt n aa
घटना,gh a tt n aa
घटना-बढ़ना,gh a tt n aa b a rrh n aa
घट-बढ़,gh a tt b a rrh
घटा,gh a tt aa
घटाना,gh a tt aa n aa
घटाव,gh a tt aa v
घटित,gh a tt i t
घटिया,gh a tt i y aa
घटी,gh a tt ii
घटौती,gh a tt O t ii
घट्ठा,gh a tt tth aa
घड़ना,gh a rr n aa
घड़ा,gh a rr aa
घड़ियाल,gh a rr i y aa l
घड़ियाल,gh a rr i y aa l
घड़ी,gh a rr ii
घड़ीसाज़,gh a rr ii s aa z
घड़ीसाजी,gh a rr ii s aa z ii
घन,gh a n
घन,gh a n
घन,gh a n
घनघोर,gh a n gh o r
घमचक्कर,gh a n c a k k a r
घना,gh a n aa
घनापन,gh a n aa p a n
घनिष्ठ,gh a n i sh tth a
घनिष्ठता,gh a n i sh tth a t aa
घपला,gh a p l aa
घबड़ाना,gh a b rr aa n aa
घबड़ाहट,gh a b rr aa h a tt
घमंड,gh a m a n dd
घमंडी,gh a m a n dd ii
घमसान,gh a m s aa n
घर,gh a r
घर-गृहस्थी,gh a r g r i h a s th ii
घर-द्वार,gh a r d v aa r
घरबारी,gh a r b aa r ii
घरवाला,gh a r v aa l aa
घरवाली,gh a r v aa l ii
घराना,gh a r aa n aa
घरेलू,gh a r e l uu
घर्राटा,gh a r r aa tt aa
घसियारा,gh a s i y aa r aa
घसीट,gh a s ii tt
घसीटना,gh a s ii tt n aa
घाघ,gh aa gh
घाघरा,gh aa gh r aa
घाट,gh aa tt
घाटा,gh aa t aa
घाटी,gh aa t ii
घात,gh aa t
घात,gh aa t
घातक,gh aa t a k
घाती,gh aa t ii
घान,gh aa n
घानी,gh aa n ii
घाम,gh aa m
घायल,gh aa y a l
घाव,gh aa v
घास,gh aa s
घास-पात,gh aa s p aa t
घिग्घी,gh i g gh ii
घिघियाना,gh i gh i y aa n aa
घिचपिच,gh i c p i c
घिन,gh i n
घिनावना,gh i n aa v n aa
घिया,gh i y aa
घिरना,gh i r n aa
घिरनी,gh i r n ii
घिराव,gh i r aa v
घिस-घिस,gh i s gh i s
घिसना,gh i s n aa
घिसाई,gh i s E
घिसा-पिटा,gh i s aa p i tt aa
घी,gh ii
घीया,gh ii y aa
घुँघराला,gh u ~ gh r aa l aa
घुँघरू,gh u ~ gh r uu
घुंडी,gh u n dd i
घुंडीदार,gh u n dd i d aa d aa r
घुग्घु,gh u g gh uu
घुटन,gh u tt a n
घटना,gh u t n aa
घुटना,gh u tt n aa
घुटाना,gh u tt n aa
घुटा,gh u tt aa
घुटाई,gh u tt E
घुट्टी,gh u tt tt ii
घुड़,gh u rr
घुड़कना,gh u r a k n aa
घुड़की,gh u r k ii
घुड़दौड़,gh u rr d O rr
घुड़सवार,gh u rr s a v aa r
घुड़सवारी,gh u rr s a v aa r ii
घुड़साल,gh u rr s aa l
घुन,gh u n
घुनना,gh u n n aa
घुन्ना,gh u n n aa
घुप,gh u p
घुमंतू,gh u m a n t uu
घुमक्कड़,gh u m a k k a rr
घुमड़ना,gh u m a rr n aa
घुमाव,gh u m aa v
घुमावदार,gh u m aa v d aa r
घुमाव-फिराव,gh u m aa v ph i r aa v
घुलना,gh u l n aa
घुलघुलकर,gh u l gh u l k a r
घुलमिलकर,gh u l m i l k a r
घुलाना,gh u l aa n aa
घुसना,gh u s n aa
घुसपैठ,gh u s p E tth
घुसेड़ना,gh u s e rr n aa
घूम,gh uu m
घूमना,gh uu m n aa
घूरना,gh uu r n aa
घूरा,gh uu r aa
घूस,gh uu s
घूसखोर,gh uu s x o r
घूसख़ोरी,gh uu s x o r ii
घृणा,gh r i n aa
घृणित,gh r i n i t
घेर,gh e r
घेरदार,gh e r d aa r
घेरना,gh e r n aa
घेरा,gh e r aa
घोटना,gh o tt n aa
घोटा,gh o tt aa
घोटाई,gh o tt E
घोड़ा,gh o rr aa
घोड़ा-गाड़ी,gh o r aa g aa rr ii
घोर,gh o r
घोल,gh o l
घोलना,gh o l n aa
घोषणा,gh o sh n aa
घोषित,gh o sh i t
चंगा,c a ng g aa
चंगुल,c a ng g u l
चंचल,c a n c a l
चंचलता,c a n c a l t aa
चंट,c a n tt
चंटपन,c a n tt p a n
चंडाल,c a n dd aa l
चंद,c a n d
चंदन,c a n d a n
चंदा,c a n d aa
चंद्र,c a n d r a
चंद्रमा,c a n d r a m aa
चंपत,c a m p a t
चंपा,c a m p aa
चँवर,c a ~ v a r
चक,c a k
चकई,c a k Ei
चकती,c a k t ii
चकत्ता,c a k a t t aa
चकत्तेदार,c a k a t t e d aa r
चकनाचूर,c a k n aa c uu r
चकबंदी,c a k b a n d ii
चकमक,c a k m a k
चकमा,c a k m aa
चकराना,c a k r aa n aa
चकला,c a k l aa
चकला,c a k l aa
चकल्लस,c a k a l l a s
चकवा,c a k v aa
चकाचक,c a k aa c a k
चकित,c a k i t
चकोर,c a k o r
चक्कर,c a k k a r
चक्करदार,c a k k a r d aa r
चक्का,c a k k aa
चक्कू,c a k k uu
चक्र,c a k r a
चखचख,c a kh c a kh
चखना,c a kh n aa
चखाना,c a kh aa n aa
चचा,c a c aa
चचिया,c a c i y aa
चचेरा,c a c e r aa
चट,c a tt
चट,c a tt
चट,c a tt
चटक,c a t a k
चटकदार,c a t a k d aa r
चटकना,c a tt a k n aa
चटकनी,c a t a k n ii
चटक-मटक,c a tt a k m a tt a k
चटकीला,c a tt k ii l aa
चटखना,
चट-चट,c a tt c a tt
चटचटाना,c a tt c a tt aa n aa
चटनी,c a tt n ii
चटपट,c a tt p a tt
चटपटा,c a tt p a tt aa
चटपटी,c a tt p a tt ii
चटाई,c a tt E
चटाक-पटाक,c a tt aa k p a tt aa k
चटाना,c a tt aa n aa
